Place ID,Place Name,Author,Author Rating,Date,Review Text
ChIJxW6MtRfHyhQRhNjBpEC84YY,TARİHİ ŞEN LOKANTASI,G. Ş.,4,4 ay önce,"Bostancı denince aklıma ilk gelen yerlerdendir, çok eski zamanlardan beri aralıklı gelirim. Burada lokanta hissiyatını hem yoğun hemde tarihi yapısıyla oldukça iyi hissettiren bir havası var, galiba lokanta kültürümüzü çok seviyorum. Yemeğin hemen önüne gelmesi , titizlik, tazelik, iyi hizmet, kolay giriş ve çıkış yapılması, havadar olması favorimdir. Kurufasülye pilav, incik haşlama , cacık , nar çiçeği içeceğimle kendimi çok iyi hissettim"
ChIJxW6MtRfHyhQRhNjBpEC84YY,TARİHİ ŞEN LOKANTASI,T. B.,5,4 ay önce,"Klasik bir esnaf lokantası deneyimi.
Ev yemekleri çok lezzetli, porsiyonlar doyurucu."
ChIJMZNjo-e5yhQRPkfXiKxhkZg,F&B Culture,B. A.,5,bir yıl önce,"Mekan hoş insan rahat ediyor. Ama yemekleri yedikten sonra bayıldık resmen. Porsiyonlar aşırı iyi, görsel muhteşem lezzet inanılmaz. Ben bu kadar lezzetli yemek yemedim. Şefin ellerine sağlık. Çok beğendik ve memnun kaldık.  Çalışan arkadaşların hepsi güler yüzlü. Mekan tertemizdi..."
ChIJMZNjo-e5yhQRPkfXiKxhkZg,F&B Culture,G. G.,5,8 ay önce,Çalışanlar çok ilgili. Müşterilerinin çoğu yabancı. Atmosfer güzeldi. Yemekler harikaydı. Kırmızı şarap seçimi güzeldi. Fiyat skalası biraz yukarıda ama değdi diye düşünüyorum.
ChIJMZNjo-e5yhQRPkfXiKxhkZg,F&B Culture,B. Y.,5,8 ay önce,Çok güzel bir mekan. Yemekler çok lezzetliydi memnun kaldık tavsiye ederim
ChIJMZNjo-e5yhQRPkfXiKxhkZg,F&B Culture,E. S.,5,4 ay önce,"Öncelikle görsel olarak çok keyifli bir yer, yeri hemen Galata kulesinin arka sokağında turistik diye düşünmeyin fiyatlar o lezzetlere göre çok uygun.Restoran & Bar olarak görünüyo ama tam bir gastronomi keyfi yaşadık birinin paylaşımında görüp doğumgünümü kutlamak için gittim resmen bir ihtiyaciniz olsa da getirseler diye bekliyorlar ilgi ve müzik hiç rahatsiz etmiyo aksine çok memnun ayrıldık. Bu arada çıtır karides ve beyti harikaydı ellerinize sağlık, içi sulu sulu kalmış ve çok güzel pismisti. Gökhan bey tekrar çok teşekkür ederiz çok iyi agirlandiniz🙏🏻 bol kazançlar dilerim emeklerinize sağlık, aşciniz kim ise benden ona 5 hatta 10 yıldız 🥰"
ChIJMZNjo-e5yhQRPkfXiKxhkZg,F&B Culture,A. B.,3,4 ay önce,Atmosferi ne kadar güzelse içecekleri o kadar kötü. İçtiğim en kötü aperoldü. Fiyatları çok pahalı. Bi makarnaya 700 küsür yazmışlardı. Bir şey yemeden kalktık
ChIJryimU7y5yhQRIfCT0eM2Tgo,En La Luna Terrace,C. O.,5,2 ay önce,"Yemekler çok lezzetli ve servis mükemmel.

The food is very good, and the service is excellent."
ChIJryimU7y5yhQRIfCT0eM2Tgo,En La Luna Terrace,X. X.,5,3 ay önce,Yemek çok lezzetliydi ve servis hızlıydı. Ortam temiz ve rahattı. Tekrar gelmek isterim. 👍🍽️
ChIJryimU7y5yhQRIfCT0eM2Tgo,En La Luna Terrace,L. M.,5,bir yıl önce,"Roof Panorama İstanbul, güzel manzarasına rağmen bizi hayal kırıklığına uğrattı. Kahvaltı lezzet ve kalite açısından yetersizdi, üstelik fiyatına hiç değmedi. En can sıkıcı olan ise, faturada belirtilmeyen 200 TL fazladan ücret alınmasıydı. Sorduğumuzda, bunun “şehir için” olduğu söylendi – bu açıklama hem anlamsız hem de güven sarsıcıydı. Güzel bir deneyim beklerken, kandırılmış hissederek ayrıldık."
ChIJryimU7y5yhQRIfCT0eM2Tgo,En La Luna Terrace,G. Ç.,5,2 ay önce,Biraz geç gittik 15:00 gibi geç kahvaltı  için  kahvaltı çeşitliliğini geliştirilmenizi öneriyorum  - genel olarak fiyatları uygun amma kahvaltı iki kişi için 1800 ödedik
ChIJryimU7y5yhQRIfCT0eM2Tgo,En La Luna Terrace,P. F.,5,3 ay önce,Yemekler çok lezzetli ve servis çok güzel! Teşekkür ederim! Ellerinize sağlık! 👍👍👍
ChIJq5PS_WC3yhQRNot8IgF9g4k,Hayvore Karadeniz Mutfağı,S.,5,7 ay önce,"Karadeniz mutfağı ağırlıklı, küçük ama karakterli bir esnaf lokantası. Pazı sarması ve hamsi kaygana tercih ettim; çok dengeli ve lezzetli bir öğün oldu. Kara lahana çorbası ve hamsili pilavda aklım kaldı, bir dahaki sefere onları deneyeceğim. Dükkan ufacık, gözden kaçabilecek türden. Çalışanlar çok samimi ve yardımcı, servis hızlı, yemekler gerçekten lezzetli. Her yerde bulamayacağınız geleneksel Karadeniz yemeklerine burada ulaşmak mümkün. 🌿🐟"
ChIJq5PS_WC3yhQRNot8IgF9g4k,Hayvore Karadeniz Mutfağı,A. M.,3,8 ay önce,"Hizmet iyi ama lezzetler Karadeniz lokantalarını seçenler için üst kalite değil fiyatlarsa yüksek . Az Lahana çorbası bu para olur mu , fakir çorbası Zengin fiyatına … Yorum ortalama puanını yansıtan bir yer . Çok sevdiğim fasulyeyi bitiremedim bıraktım . Et kuruydu lezzetli değildi . Denemiş olduk ama beğenmedik"
ChIJq5PS_WC3yhQRNot8IgF9g4k,Hayvore Karadeniz Mutfağı,E.,5,3 ay önce,"Ne zaman istiklal civarına gitsem yemek seçeneklerim arasında ilk sıralarda. Fırın yemekleri hariç diğer yemeklerin çoğunu denedim. Hepside çok güzel, kaliteli. Favorim tabiki de pilav üzeri kuru ve kavurma :)"
ChIJq5PS_WC3yhQRNot8IgF9g4k,Hayvore Karadeniz Mutfağı,U. A.,5,bir ay önce,"Taksim in göbeğinde bir lezzet durağı,  ben fasulye ,pilav ve kavurma yedim , birde karadeniz e özgü karışık ot tabağı...yemekleri çok lezzetliydi, restoran sahibesi müşterilerle ilgili, garsonlar nazik ve misafirperver. Taksimde güzel bir yemek için tavsiye ediyorum."
ChIJq5PS_WC3yhQRNot8IgF9g4k,Hayvore Karadeniz Mutfağı,L. S.,4,4 ay önce,"Bence gidilir. Fiyatlar bir tık yukarı ama bu da konum kaynaklı. Özellikle Karadeniz üzerine bir çok çeşit var. Kişi başı 500-600 TL
Hizmet için teşekkürler."
ChIJywFmu7y5yhQR2s6Kpr4f1Es,Old City Rooftop,I. O.,5,6 ay önce,İstanbul sirkecinin göbeğinde olduğu için harika paronamik boğaz manzarası sunuyor etleri ve yemekleri çok taze ve lezzetli kesinlikle bu muhteşem manzaraya karşı en iyi yemekler ve türk biralarını içebilirsiniz
ChIJywFmu7y5yhQR2s6Kpr4f1Es,Old City Rooftop,M. F.,5,4 hafta önce,Her şey çok lezzetliydi. 9 kişi İtalya’dan misafirlerimle geldik. Tüm yemeklere bayıldılar 😋
ChIJywFmu7y5yhQR2s6Kpr4f1Es,Old City Rooftop,E. S.,5,2 ay önce,Burada nargileyi kaldırmışlar ama nargile fotoğraflarını kaldiramiyorlar harika bir teras restourantı ve şehir manzarasına sahip özelikle türk mutfağı harika
ChIJywFmu7y5yhQR2s6Kpr4f1Es,Old City Rooftop,Y. K.,5,2 ay önce,Harika bir mekan herkese tavsiye ederim güler yüzlü hizmet ve harika manzara
ChIJywFmu7y5yhQR2s6Kpr4f1Es,Old City Rooftop,F. B.,5,4 ay önce,Biz tatilimiz boyunca Sirkeci’de kaldık ve bence harika manzaralar ve Türk yemekleri sunan old city rooftop restouranttı
ChIJy8tCg865yhQRHfMGFdfWCuI,BUHARA FİSH MEAT HOUSE ROOF,U. E.,5,7 ay önce,İstanbul’un turizm merkezi Sultanahmet’te bulunan bu otantik mekan size lezzetli tatlar sunarken keyifli ve huzurlu anlar yaşamanızı sağlıyor. İlgi alaka en üst seviyede. Gönül rahatlığıyla gidebilir ve harika zaman geçirebilirsiniz.
ChIJy8tCg865yhQRHfMGFdfWCuI,BUHARA FİSH MEAT HOUSE ROOF,A. X.,5,4 ay önce,"Hərşey əla idi, əsas da lahmacunları😍 Eyni zamanda Muhammed bey bize çok iyi davrandı, ve birçok ikramlar verdi. Çok razı kaldıkkk. Türkiyeye geldikce hep gelicez✨"
ChIJy8tCg865yhQRHfMGFdfWCuI,BUHARA FİSH MEAT HOUSE ROOF,A. T.,5,4 ay önce,İftar için geldik yemekleri çok güzel karışık kebab mevsim salata çorbaları harika idi personel güler yüzlü bize bu güzel hizmeti yaşattığı için Muhammet beye teşekkürler
ChIJy8tCg865yhQRHfMGFdfWCuI,BUHARA FİSH MEAT HOUSE ROOF,D. Ç.,5,bir ay önce,Muhammet beyin güler yüzü ve ilgisi alakası için teşekkür ederim yemekler çok güzeldi masamız asla boş kalmadı çok teşekkür ederim Muhammet bey. Yakınlarıma tavsiyede bulunacağım.
ChIJy8tCg865yhQRHfMGFdfWCuI,BUHARA FİSH MEAT HOUSE ROOF,H. K.,5,4 ay önce,"Mohammed

Das Fish Meat House Buhara in Istanbul hat ist eine Empfehlung wert. Frische und qualitativ hochwertige Zutaten und Zubereitung. Sehr gastfreundliche und gemütliche Atmosphäre.

Buhara Fish Meat House, çok güzel ortamı ve lezzeti ile bizi müthiş etkiledi, çalışanları özellikle Muhammed harika ağırladı bizleri. Ellerine emeklerine sağlık. Kesinlikle gitmeniz ve burada ki yemekleri tatmanız gereken bir yer. Kesinlikle çıkın çıkın gelin.

Teşekkür ederim Hayriye"
ChIJyfctL93ZyhQR0zB3EOUv4kM,Anadolu Lokantası,A.,4,7 ay önce,"Sehirlerarası yolculuk yaparken yemek icin ugradık. Calisanlar guzeryuzlu yardimsever, yemekler guzeldi. Double çay ikram taze. Hazır tatlı servislerindeki tabaklari daha sık gözden geçirebilirsiniz, toz gordugum icin almadim, kapalı bir kapta sunulabilir. Fiyat genel olarak biraz yuksek. Tesekkurler."
ChIJyfctL93ZyhQR0zB3EOUv4kM,Anadolu Lokantası,S. G.,4,11 ay önce,"Yol üstinde genelde mola verdiğim yer. Mehmetcik tesislerinde neredeyse her restoran kafede yemek yedim bence en iyi kahvaltı hizmeti veren yer burası. Tost çeşitleri, melemen, kahvaltı ürünleri, böreği her şeyi fiyatına göre başarılı. Totlar büyük ekmeğe yapılıyor ve fiyatı 170-220 TL arasında , kahvaltılık ürünleri aldığınız kadar fiyatını ödüyorsunuz, açık büfe var tabağınıza alıp kasada ödemesini yapıyorsunuz. KAsadaki arkadaşın işi çok zor, tane ile alınan ürünlere fiyat yazılması zaman alıyor, birazda garip aslında tane domates, yarım bağ yeşillik gibi ... belki bir standart getirilebilir.
Limonatasını ve kaymağını beğenmedim, onun dışında aşağı yukarı menüdeki bir çok  şeyi yemişimdir farklı zamanlarda genel olarak sevdiğim ve fiyatını makul bulduğum bir yer.
Tavsiye ederim, yine giderim."
ChIJyfctL93ZyhQR0zB3EOUv4kM,Anadolu Lokantası,A.,3,bir yıl önce,"Yol üstü mola da yemek yiyebilir ve serin bir ortamda dinlenebilirsiniz.
Fiyat politikaları bir tık daha aşağıda olsa çok güzel olur.
Yemek çeşitleri çok."
ChIJyfctL93ZyhQR0zB3EOUv4kM,Anadolu Lokantası,B. U.,1,7 ay önce,Uzak durun abiler ablalar. Navigasyonda trafik gösteriyor diye girelim bir açlık giderelim dedik. 2 saat trafik bekleseydik de girmeseydik keşke. Hizmet rezaletti. Yemekler bu gibi. Bir tabak pilav bir çorba pilavın üstüne 2 kaşık kavurma 575 TL. Buz gibi herşey. Biz düştük iyi kötü kurtulduk. Aman siz düşmeyin
