Place ID,Place Name,City,Category,Address,Latitude,Longitude,Types,Average Rating,Total Review Count,Price Level
ChIJU_eWqjTGyhQRfAPIkZXS1FU,Adana Kebap Izgara Kalyon Kokoreç,Adana,Kebab Restaurant,"Barbaros, 34746 Ataşehir/İstanbul, Türkiye",40.9860919,29.092639199999997,"kebab_shop, bar_and_grill, bar, restaurant, point_of_interest, food, establishment",3.9,1475.0,PRICE_LEVEL_EXPENSIVE
ChIJEwAPeCqJKBURGzedSU-kfFA,Hacı Baba Kebap Salonu,Adana,Kebab Restaurant,"Yeşilyurt Mahallesi Mavi Bulvar Üzeri, Şehitler Parkı Yanı Harput Apt. 18/A, Yeşilyurt, 01150 Seyhan/Adana, Türkiye",37.0289911,35.2994981,"kebab_shop, restaurant, point_of_interest, food, establishment",3.0,1236.0,PRICE_LEVEL_MODERATE
ChIJeUVFH0zDyhQRYrLTicroyug,% 100 TESCİLLİ ADANA KEBAPCISI,Adana,Kebab Restaurant,"Batı, Erol Kaya Cd 44A, 34890 Pendik/İstanbul, Türkiye",40.8758301,29.2268569,"kebab_shop, restaurant, point_of_interest, food, establishment",2.8,1444.0,PRICE_LEVEL_MODERATE
ChIJv2KkViaPKBURl-fIFFsMw_s,Hasan Usta Kebap Barajyolu,Adana,Kebab Restaurant,"Yenibaraj, 68030. Sk., 01150 Seyhan/Adana, Türkiye",37.0204172,35.3162665,"kebab_shop, steak_house, family_restaurant, restaurant, point_of_interest, food, establishment",2.6,1002.0,PRICE_LEVEL_EXPENSIVE
ChIJTSaGu_iFKBURXWItJO-lmvQ,Doğa Kebap,Adana,Kebab Restaurant,"Kuruköprü, Bakımyurdu Cd. 68/A, 01060 Seyhan/Adana, Türkiye",36.9876535,35.3169741,"kebab_shop, turkish_restaurant, restaurant, point_of_interest, food, establishment",4.1,30.0,PRICE_LEVEL_EXPENSIVE
ChIJTSaGu_iFKBURzUuoMueeMbU,Erciyes Ocakbaşı,Adana,Kebab Restaurant,"Hurmalı, Bakımyurdu Cd. No:26, 01060 Seyhan/Adana, Türkiye",36.987906,35.3198534,"kebab_shop, restaurant, point_of_interest, food, establishment",2.7,1584.0,PRICE_LEVEL_MODERATE
ChIJR_OiMBWPKBURKvfZY0eJQfw,Kazım Büfe,Adana,Kebab Restaurant,"Cemalpaşa Mahallesi Toros Caddesi Bahadır Apt, Cemalpaşa, No.34/B, 01120 Seyhan/Adana, Türkiye",37.0017942,35.3270348,"fast_food_restaurant, buffet_restaurant, restaurant, point_of_interest, food, establishment",3.8,744.0,PRICE_LEVEL_INEXPENSIVE
ChIJiSXI9z7GyhQRZoTOlgahAC4,Abooov Kebap Küçük Bakkalköy,Adana,Kebab Restaurant,"Küçükbakkalköy, Kayışdağı Cd. No:129A, 34750 Ataşehir/İstanbul, Türkiye",40.9782115,29.1223264,"kebab_shop, restaurant, point_of_interest, food, establishment",2.8,1135.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJz4_0C8aOKBURZ662MzoUZC4,Mıdık Kazbaşı Restaurant Murat Ezgü,Adana,Kebab Restaurant,"Mahfesığmaz, Turgut Özal Blv. 43 C, 01170 Çukurova/Adana, Türkiye",37.0382111,35.3146747,"restaurant, point_of_interest, food, establishment",4.0,1079.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJVVjOzpyPKBURLi1pD_45Ptc,Adnan Usta 01 Kebap,Adana,Kebab Restaurant,"Reşatbey, Beş Ocak Cd. No:18/1, 01010 Seyhan/Adana, Türkiye",36.9921675,35.3276012,"kebab_shop, cafe, restaurant, point_of_interest, food, establishment",4.4,75.0,PRICE_LEVEL_MODERATE
